index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug,catalog_id,source_station_wmo,source_station_file,source_station_name,source_station_lat,source_station_lon,station_match_quality
85,浙江省,Zhejiang,宁波市,宁波,地级市,330200,Ningbo,宁波市,Ningbo,29.86361111,121.62083333,ningbo,prefecture-ningbo,585620,CHN_ZJ_Ningbo.585620_TMYx.zip,宁波,29.917,121.467,direct
86,浙江省,Zhejiang,温州市,温州,地级市,330300,Wenzhou,温州市,Wenzhou,27.993,120.699,wenzhou,prefecture-wenzhou,586590,CHN_ZJ_Wenzhou.586590_TMYx.2007-2021.zip,Wenzhou,28.017,120.667,direct
87,浙江省,Zhejiang,嘉兴市,嘉兴,地级市,330400,Jiaxing,嘉兴市,Jiaxing,30.754,120.759,jiaxing,prefecture-jiaxing,584570,CHN_ZJ_Hangzhou.584570_TMYx.2011-2025.zip,杭州,30.2259,120.1649,city_alias_fallback
88,浙江省,Zhejiang,湖州市,湖州,地级市,330500,Huzhou,湖州市,Huzhou,30.894,120.087,huzhou,prefecture-huzhou,584570,CHN_ZJ_Hangzhou.584570_TMYx.2011-2025.zip,杭州,30.2259,120.1649,city_alias_fallback
89,浙江省,Zhejiang,绍兴市,绍兴,地级市,330600,Shaoxing,绍兴市,Shaoxing,29.995,120.586,shaoxing,prefecture-shaoxing,584570,CHN_ZJ_Hangzhou.584570_TMYx.2011-2025.zip,杭州,30.2259,120.1649,city_alias_fallback
90,浙江省,Zhejiang,金华市,金华,地级市,330700,Jinhua,金华市,Jinhua,29.0788,119.6475,jinhua,prefecture-jinhua,585490,CHN_ZJ_Jinhua.585490_TMYx.zip,Jinhua,29.15,119.633,direct
91,浙江省,Zhejiang,衢州市,衢州,地级市,330800,Quzhou,衢州市,Quzhou,28.97,118.86,quzhou,prefecture-quzhou,586330,CHN_ZJ_Quzhou.586330_TMYx.2011-2025.zip,Quzhou,28.968,118.8938,direct
92,浙江省,Zhejiang,舟山市,舟山,地级市,330900,Zhoushan,舟山市,Zhoushan,29.9852,122.2077,zhoushan,prefecture-zhoushan,585620,CHN_ZJ_Ningbo.585620_TMYx.zip,宁波,29.917,121.467,city_alias_fallback
93,浙江省,Zhejiang,台州市,台州,地级市,331000,Taizhou,台州市,"Taizhou, Zhejiang",28.6556,121.4216,taizhou-zhejiang,prefecture-taizhou-zhejiang,585620,CHN_ZJ_Ningbo.585620_TMYx.zip,宁波,29.917,121.467,city_alias_fallback
94,浙江省,Zhejiang,丽水市,丽水,地级市,331100,Lishui,丽水市,Lishui,28.467,119.923,lishui,prefecture-lishui,586460,CHN_ZJ_Lishui.586460_TMYx.2011-2025.zip,Lishui,28.4612,119.9296,direct
95,安徽省,Anhui,合肥市,合肥,地级市,340100,Hefei,合肥市,Hefei,,,hefei,prefecture-hefei,583210,CHN_AH_Hefei.583210_TMYx.2011-2025.zip,合肥,31.9555,117.0574,direct
96,安徽省,Anhui,芜湖市,芜湖,地级市,340200,Wuhu,芜湖市,Wuhu,31.353,118.433,wuhu,prefecture-wuhu,583340,CHN_AH_Wuhu.583340_TMYx.zip,Wuhu,31.3644,118.437,direct
97,安徽省,Anhui,蚌埠市,蚌埠,地级市,340300,Bengbu,蚌埠市,Bengbu,,,bengbu,prefecture-bengbu,582210,CHN_AH_Bengbu.AP.582210_TMYx.2011-2025.zip,蚌埠,32.852,117.3207,direct
98,安徽省,Anhui,淮南市,淮南,地级市,340400,Huainan,淮南市,Huainan,32.625,117.0,huainan,prefecture-huainan,583210,CHN_AH_Hefei.583210_TMYx.2011-2025.zip,合肥,31.9555,117.0574,province_capital_fallback
99,安徽省,Anhui,马鞍山市,马鞍山,地级市,340500,Ma'anshan,马鞍山市,Ma'anshan,31.67,118.506,maanshan,prefecture-maanshan,583210,CHN_AH_Hefei.583210_TMYx.2011-2025.zip,合肥,31.9555,117.0574,province_capital_fallback
100,安徽省,Anhui,淮北市,淮北,地级市,340600,Huaibei,淮北市,Huaibei,33.9565,116.7977,huaibei,prefecture-huaibei,583210,CHN_AH_Hefei.583210_TMYx.2011-2025.zip,合肥,31.9555,117.0574,province_capital_fallback
101,安徽省,Anhui,铜陵市,铜陵,地级市,340700,Tongling,铜陵市,Tongling,30.9455,117.8115,tongling,prefecture-tongling,583210,CHN_AH_Hefei.583210_TMYx.2011-2025.zip,合肥,31.9555,117.0574,province_capital_fallback
102,安徽省,Anhui,安庆市,安庆,地级市,340800,Anqing,安庆市,Anqing,30.532,117.115,anqing,prefecture-anqing,584240,CHN_AH_Anqing.584240_TMYx.2011-2025.zip,安庆,30.6231,116.9673,direct
103,安徽省,Anhui,黄山市,黄山,地级市,341000,Huangshan City,黄山市,Huangshan City,29.7148,118.3375,huangshan-city,prefecture-huangshan-city,584370,CHN_AH_Huang.Shan.584370_TMYx.2011-2025.zip,黄山,30.1347,118.1642,direct
104,安徽省,Anhui,滁州市,滁州,地级市,341100,Chuzhou,滁州市,Chuzhou,32.2535,118.3283,chuzhou,prefecture-chuzhou,583210,CHN_AH_Hefei.583210_TMYx.2011-2025.zip,合肥,31.9555,117.0574,province_capital_fallback
