catalog_id,division_code,province_zh,city_zh,lat,lon,coordinate_source,geocoder_display_name
prefecture-jiuquan,620900,甘肃省,酒泉市,39.734,98.494,catalog,
prefecture-qingyang,621000,甘肃省,庆阳市,35.739,107.632,catalog,
prefecture-dingxi,621100,甘肃省,定西市,35.583,104.626,catalog,
prefecture-longnan,621200,甘肃省,陇南市,33.401,104.922,catalog,
prefecture-linxia-hui-autonomous-prefecture,622900,甘肃省,临夏回族自治州,35.601,103.211,catalog,
prefecture-gannan-tibetan-autonomous-prefecture,623000,甘肃省,甘南藏族自治州,34.983,102.911,catalog,
prefecture-xining,630100,青海省,西宁市,36.6169,101.7781,catalog,
prefecture-haidong,630200,青海省,海东市,36.502,102.1045,catalog,
prefecture-haibei-tibetan-autonomous-prefecture,632200,青海省,海北藏族自治州,36.9545,100.9006,catalog,
prefecture-huangnan-tibetan-autonomous-prefecture,632300,青海省,黄南藏族自治州,35.5196,102.015,catalog,
prefecture-hainan-tibetan-autonomous-prefecture,632500,青海省,海南藏族自治州,36.2967,100.6227,catalog,
prefecture-golog-tibetan-autonomous-prefecture,632600,青海省,果洛藏族自治州,34.4715,100.2447,catalog,
prefecture-yushu-tibetan-autonomous-prefecture,632700,青海省,玉树藏族自治州,33.012,97.092,catalog,
prefecture-haixi-mongol-and-tibetan-autonomous-prefecture,632800,青海省,海西蒙古族藏族自治州,37.377,97.369,catalog,
prefecture-yinchuan,640100,宁夏回族自治区,银川市,38.4874,106.2308,catalog,
prefecture-shizuishan,640200,宁夏回族自治区,石嘴山市,38.9833,106.3828,catalog,
prefecture-wuzhong,640300,宁夏回族自治区,吴忠市,37.9975,106.1984,catalog,
prefecture-guyuan,640400,宁夏回族自治区,固原市,36.0159,106.2426,catalog,
prefecture-zhongwei,640500,宁夏回族自治区,中卫市,37.5,105.1967,catalog,
prefecture-urumqi,650100,新疆维吾尔自治区,乌鲁木齐市,43.71666667,87.63333333,catalog,
prefecture-karamay,650200,新疆维吾尔自治区,克拉玛依市,45.57913,84.88666,catalog,
prefecture-turpan,650400,新疆维吾尔自治区,吐鲁番市,42.96361111,89.18527778,catalog,
prefecture-hami,650500,新疆维吾尔自治区,哈密市,42.8254995,93.5130464,OpenStreetMap Nominatim,"哈密市 قۇمۇل شەھىرى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
